0, 1457671451.44, 2, 0, internal
0, 1457671451.95, 3, 0, sent, 2
0, 1457671452.45, 5, 0, recieved, 1, 4
0, 1457671452.94, 6, 0, sent, 3
0, 1457671453.45, 7, 0, internal
0, 1457671453.95, 10, 1, recieved, 1, 9
0, 1457671454.45, 11, 0, recieved, 2, 9
0, 1457671454.95, 13, 0, recieved, 1, 12
0, 1457671455.44, 14, 0, recieved, 1, 13
0, 1457671455.94, 15, 2, recieved, 1, 14
0, 1457671456.44, 16, 2, recieved, 2, 14
0, 1457671456.95, 17, 2, recieved, 1, 15
0, 1457671457.44, 18, 1, recieved, 1, 16
0, 1457671457.94, 19, 3, recieved, 1, 17
0, 1457671458.44, 21, 2, recieved, 2, 20
0, 1457671458.94, 22, 1, recieved, 2, 21
0, 1457671459.45, 23, 1, recieved, 1, 21
0, 1457671459.95, 26, 1, recieved, 1, 25
0, 1457671460.45, 27, 2, recieved, 1, 26
0, 1457671460.94, 29, 2, recieved, 1, 28
0, 1457671461.44, 30, 3, recieved, 2, 28
0, 1457671461.94, 31, 2, recieved, 1, 29
0, 1457671462.44, 32, 2, recieved, 1, 31
0, 1457671462.95, 33, 1, recieved, 2, 31
0, 1457671463.45, 35, 1, recieved, 2, 34
0, 1457671463.95, 38, 2, recieved, 2, 37
0, 1457671464.45, 39, 2, recieved, 2, 38
0, 1457671464.94, 40, 4, recieved, 1, 39
0, 1457671465.44, 41, 3, recieved, 1, 40
0, 1457671465.94, 42, 4, recieved, 1, 41
0, 1457671466.44, 43, 4, recieved, 2, 41
0, 1457671466.94, 44, 4, recieved, 2, 42
0, 1457671467.44, 45, 4, recieved, 1, 44
0, 1457671467.94, 46, 4, recieved, 1, 45
0, 1457671468.44, 47, 4, recieved, 1, 46
0, 1457671468.94, 48, 3, recieved, 2, 47
0, 1457671469.45, 50, 2, recieved, 2, 49
0, 1457671469.95, 52, 2, recieved, 2, 51
0, 1457671470.45, 53, 2, recieved, 2, 52
0, 1457671470.94, 57, 2, recieved, 2, 56
0, 1457671471.44, 59, 2, recieved, 1, 58
0, 1457671471.94, 60, 1, recieved, 2, 59
0, 1457671472.44, 62, 1, recieved, 2, 61
0, 1457671472.94, 65, 1, recieved, 1, 64
0, 1457671473.44, 67, 1, recieved, 2, 66
0, 1457671473.94, 68, 0, recieved, 2, 67
0, 1457671474.44, 69, 0, sent, 2
0, 1457671474.95, 72, 1, recieved, 1, 71
0, 1457671475.45, 73, 0, recieved, 1, 72
0, 1457671475.95, 75, 1, recieved, 2, 74
0, 1457671476.45, 76, 0, recieved, 2, 75
0, 1457671476.95, 77, 0, sent, 1
0, 1457671477.44, 80, 0, recieved, 2, 79
0, 1457671477.95, 82, 1, recieved, 1, 81
0, 1457671478.44, 83, 0, recieved, 2, 81
0, 1457671478.95, 85, 0, recieved, 1, 84
0, 1457671479.45, 86, 0, sent, 3
0, 1457671479.94, 89, 0, recieved, 2, 88
0, 1457671480.44, 90, 0, internal
0, 1457671480.94, 93, 0, recieved, 1, 92
0, 1457671481.44, 94, 0, sent, 3
0, 1457671481.94, 95, 0, sent, 1
0, 1457671482.44, 96, 0, sent, 3
0, 1457671482.94, 100, 1, recieved, 2, 99
0, 1457671483.45, 101, 0, recieved, 1, 99
0, 1457671483.94, 103, 0, recieved, 1, 102
0, 1457671484.44, 104, 0, recieved, 1, 103
0, 1457671484.95, 105, 0, sent, 2
0, 1457671485.45, 106, 0, internal
0, 1457671485.94, 107, 0, sent, 2
0, 1457671486.44, 108, 0, sent, 1
0, 1457671486.94, 112, 0, recieved, 1, 111
0, 1457671487.44, 113, 0, internal
0, 1457671487.94, 114, 0, sent, 1
0, 1457671488.44, 115, 0, sent, 1
0, 1457671488.94, 117, 1, recieved, 2, 116
0, 1457671489.44, 118, 0, recieved, 2, 117
0, 1457671489.95, 120, 0, recieved, 2, 119
0, 1457671490.44, 122, 0, recieved, 1, 121
0, 1457671490.94, 124, 0, recieved, 1, 123
0, 1457671491.45, 125, 0, sent, 3
0, 1457671491.94, 126, 0, internal
0, 1457671492.45, 129, 0, recieved, 1, 128
0, 1457671492.94, 130, 0, recieved, 1, 129
0, 1457671493.44, 133, 1, recieved, 2, 132
0, 1457671493.95, 134, 0, recieved, 1, 131
0, 1457671494.45, 135, 1, recieved, 1, 134
0, 1457671494.95, 136, 2, recieved, 2, 135
0, 1457671495.44, 137, 1, recieved, 1, 135
0, 1457671495.95, 138, 3, recieved, 1, 136
0, 1457671496.45, 140, 2, recieved, 1, 139
0, 1457671496.94, 141, 1, recieved, 2, 139
0, 1457671497.44, 142, 0, recieved, 2, 140
0, 1457671497.94, 146, 1, recieved, 2, 145
0, 1457671498.44, 147, 0, recieved, 1, 145
0, 1457671498.94, 148, 0, sent, 2
0, 1457671499.44, 151, 0, recieved, 1, 150
0, 1457671499.95, 152, 0, recieved, 1, 151
0, 1457671500.45, 153, 0, internal
0, 1457671500.94, 154, 0, internal
0, 1457671501.44, 155, 0, internal
0, 1457671501.94, 158, 0, recieved, 1, 157
0, 1457671502.44, 160, 0, recieved, 2, 159
0, 1457671502.94, 162, 0, recieved, 1, 161
0, 1457671503.45, 163, 0, sent, 1
0, 1457671503.94, 164, 0, recieved, 2, 163
0, 1457671504.44, 165, 0, internal
0, 1457671504.94, 167, 1, recieved, 2, 166
0, 1457671505.44, 169, 0, recieved, 1, 168
0, 1457671505.95, 172, 0, recieved, 1, 171
0, 1457671506.44, 173, 0, internal
0, 1457671506.94, 174, 1, recieved, 2, 173
0, 1457671507.44, 175, 0, recieved, 1, 174
0, 1457671507.94, 177, 1, recieved, 1, 176
0, 1457671508.44, 178, 1, recieved, 2, 177
0, 1457671508.94, 179, 0, recieved, 2, 178
0, 1457671509.44, 180, 0, internal
0, 1457671509.94, 183, 0, recieved, 2, 182
0, 1457671510.45, 185, 1, recieved, 2, 184
0, 1457671510.94, 186, 1, recieved, 1, 184
1, 1457671451.45, 2, 0, sent, 2
1, 1457671451.78, 3, 0, recieved, 2, 2
1, 1457671452.11, 4, 0, sent, 3
1, 1457671452.45, 5, 0, internal
1, 1457671452.78, 6, 0, internal
1, 1457671453.11, 7, 0, recieved, 0, 6
1, 1457671453.45, 8, 0, internal
1, 1457671453.78, 9, 0, sent, 1
1, 1457671454.12, 10, 0, internal
1, 1457671454.45, 11, 0, sent, 2
1, 1457671454.78, 12, 0, sent, 3
1, 1457671455.12, 13, 0, sent, 1
1, 1457671455.45, 14, 0, sent, 1
1, 1457671455.78, 15, 0, sent, 3
1, 1457671456.11, 16, 0, sent, 3
1, 1457671456.45, 17, 0, sent, 1
1, 1457671456.78, 18, 0, internal
1, 1457671457.11, 19, 0, internal
1, 1457671457.45, 20, 0, recieved, 2, 19
1, 1457671457.78, 21, 0, sent, 3
1, 1457671458.12, 22, 0, internal
1, 1457671458.45, 23, 0, sent, 2
1, 1457671458.78, 24, 0, sent, 2
1, 1457671459.12, 25, 0, sent, 3
1, 1457671459.45, 26, 0, sent, 3
1, 1457671459.78, 27, 0, internal
1, 1457671460.11, 28, 0, sent, 1
1, 1457671460.45, 29, 0, sent, 3
1, 1457671460.78, 30, 0, internal
1, 1457671461.12, 31, 0, sent, 1
1, 1457671461.45, 32, 0, internal
1, 1457671461.78, 33, 0, recieved, 2, 32
1, 1457671462.12, 34, 0, internal
1, 1457671462.45, 35, 0, recieved, 2, 34
1, 1457671462.78, 36, 0, internal
1, 1457671463.11, 37, 0, recieved, 2, 36
1, 1457671463.45, 38, 0, recieved, 2, 37
1, 1457671463.78, 39, 0, sent, 3
1, 1457671464.12, 40, 0, sent, 1
1, 1457671464.45, 41, 0, sent, 1
1, 1457671464.78, 42, 0, sent, 2
1, 1457671465.11, 43, 0, recieved, 2, 42
1, 1457671465.45, 44, 0, sent, 3
1, 1457671465.78, 45, 0, sent, 1
1, 1457671466.12, 46, 0, sent, 1
1, 1457671466.45, 47, 0, recieved, 2, 46
1, 1457671466.78, 48, 0, internal
1, 1457671467.12, 49, 0, sent, 2
1, 1457671467.45, 50, 0, recieved, 2, 49
1, 1457671467.78, 51, 0, internal
1, 1457671468.12, 52, 0, recieved, 2, 51
1, 1457671468.45, 53, 0, recieved, 2, 52
1, 1457671468.78, 54, 0, internal
1, 1457671469.11, 55, 0, internal
1, 1457671469.45, 56, 0, sent, 2
1, 1457671469.78, 57, 0, internal
1, 1457671470.11, 58, 0, sent, 1
1, 1457671470.45, 59, 0, internal
1, 1457671470.78, 60, 0, recieved, 2, 59
1, 1457671471.11, 61, 0, internal
1, 1457671471.45, 62, 0, internal
1, 1457671471.78, 63, 0, internal
1, 1457671472.11, 64, 0, sent, 1
1, 1457671472.45, 65, 0, internal
1, 1457671472.78, 66, 0, recieved, 2, 65
1, 1457671473.11, 67, 0, recieved, 2, 66
1, 1457671473.45, 68, 0, internal
1, 1457671473.78, 69, 0, sent, 2
1, 1457671474.11, 70, 0, recieved, 2, 69
1, 1457671474.45, 71, 0, sent, 3
1, 1457671474.78, 72, 0, sent, 3
1, 1457671475.12, 73, 0, internal
1, 1457671475.45, 74, 0, internal
1, 1457671475.78, 75, 0, recieved, 2, 74
1, 1457671476.11, 76, 0, internal
1, 1457671476.45, 77, 0, recieved, 2, 76
1, 1457671476.78, 78, 0, recieved, 2, 77
1, 1457671477.11, 79, 1, recieved, 2, 78
1, 1457671477.45, 80, 0, recieved, 0, 77
1, 1457671477.78, 81, 0, sent, 1
1, 1457671478.12, 82, 0, recieved, 2, 81
1, 1457671478.45, 83, 0, recieved, 2, 82
1, 1457671478.78, 84, 0, sent, 3
1, 1457671479.11, 85, 0, internal
1, 1457671479.45, 87, 0, recieved, 0, 86
1, 1457671479.78, 89, 0, recieved, 2, 88
1, 1457671480.11, 90, 0, internal
1, 1457671480.45, 91, 0, internal
1, 1457671480.78, 92, 0, sent, 1
1, 1457671481.12, 93, 0, internal
1, 1457671481.45, 95, 0, recieved, 0, 94
1, 1457671481.78, 96, 0, sent, 2
1, 1457671482.11, 97, 0, recieved, 0, 95
1, 1457671482.45, 98, 0, recieved, 0, 96
1, 1457671482.78, 99, 0, sent, 3
1, 1457671483.12, 100, 0, sent, 2
1, 1457671483.45, 101, 0, sent, 2
1, 1457671483.78, 102, 0, sent, 1
1, 1457671484.11, 103, 0, sent, 1
1, 1457671484.45, 104, 0, recieved, 2, 103
1, 1457671484.78, 105, 0, recieved, 2, 104
1, 1457671485.12, 106, 0, sent, 2
1, 1457671485.45, 107, 0, internal
1, 1457671485.78, 108, 0, sent, 2
1, 1457671486.12, 109, 0, internal
1, 1457671486.45, 110, 0, recieved, 0, 108
1, 1457671486.78, 111, 0, sent, 1
1, 1457671487.12, 112, 0, recieved, 2, 111
1, 1457671487.45, 113, 0, recieved, 2, 112
1, 1457671487.78, 114, 0, sent, 2
1, 1457671488.11, 115, 1, recieved, 2, 114
1, 1457671488.45, 116, 1, recieved, 0, 114
1, 1457671488.78, 117, 0, recieved, 0, 115
1, 1457671489.12, 118, 0, internal
1, 1457671489.45, 119, 0, recieved, 2, 118
1, 1457671489.78, 120, 0, recieved, 2, 119
1, 1457671490.11, 121, 0, sent, 3
1, 1457671490.45, 122, 0, internal
1, 1457671490.78, 123, 0, sent, 3
1, 1457671491.12, 124, 0, internal
1, 1457671491.45, 126, 0, recieved, 0, 125
1, 1457671491.78, 127, 0, sent, 2
1, 1457671492.12, 128, 0, sent, 1
1, 1457671492.45, 129, 0, sent, 3
1, 1457671492.78, 130, 0, internal
1, 1457671493.12, 131, 0, sent, 3
1, 1457671493.45, 132, 0, internal
1, 1457671493.78, 133, 0, internal
1, 1457671494.11, 134, 0, sent, 3
1, 1457671494.45, 135, 0, sent, 1
1, 1457671494.78, 136, 0, sent, 3
1, 1457671495.12, 138, 0, recieved, 2, 137
1, 1457671495.45, 139, 0, sent, 1
1, 1457671495.78, 140, 0, recieved, 2, 139
1, 1457671496.12, 141, 0, sent, 2
1, 1457671496.45, 142, 0, recieved, 2, 141
1, 1457671496.78, 143, 0, internal
1, 1457671497.12, 144, 0, internal
1, 1457671497.45, 145, 0, sent, 3
1, 1457671497.78, 146, 0, recieved, 2, 145
1, 1457671498.11, 147, 0, sent, 2
1, 1457671498.45, 148, 0, internal
1, 1457671498.78, 149, 0, internal
1, 1457671499.12, 150, 0, sent, 3
1, 1457671499.45, 151, 0, sent, 1
1, 1457671499.78, 152, 0, sent, 2
1, 1457671500.11, 153, 0, sent, 2
1, 1457671500.45, 154, 0, sent, 2
1, 1457671500.78, 155, 0, sent, 2
1, 1457671501.12, 156, 0, internal
1, 1457671501.45, 157, 0, sent, 3
1, 1457671501.78, 158, 0, recieved, 2, 157
1, 1457671502.12, 159, 0, sent, 2
1, 1457671502.45, 160, 0, recieved, 2, 159
